'Monthly PRECIPITATION, ACCUMULATED (INCHES) from CDEC.  Data subject to revision
'Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements
'Station FRIANT DAM (MILLERTON) (MIL), sensor 2, from 01/01/1990 00:00 to 11/02/2014 21:37
'station','sensor','year','month',01,02,03,04,05,06,07,08,09,10,11,12
MIL,2,2002,,m,m,m,m,m,m,m,m,m,0.00,1.94,2.90
MIL,2,2003,,0.66,1.90,0.88,2.44,1.10,0.00,0.00,0.01,0.00,0.12,1.12,2.84
MIL,2,2004,,1.49,2.74,1.31,0.21,0.80,0.00,0.00,0.00,0.02,3.17,3.17,3.84
MIL,2,2005,,4.49,3.09,3.30,0.45,2.21,0.00,0.00,0.03,0.15,0.24,0.17,3.05
MIL,2,2006,,4.43,0.82,4.49,5.24,0.54,0.00,0.00,0.00,0.00,0.32,0.61,1.33
MIL,2,2007,,0.92,2.82,0.76,0.70,0.08,0.00,0.00,0.08,0.14,0.00,0.05,2.26
MIL,2,2008,,4.34,1.42,0.04,0.03,0.60,0.33,0.00,0.00,0.00,0.24,1.57,1.90
MIL,2,2009,,2.01,3.35,0.91,0.50,0.46,0.31,0.00,0.02,0.07,1.52,0.16,3.36
MIL,2,2010,,3.57,4.16,1.41,2.82,0.31,0.00,0.00,0.00,0.00,1.62,2.58,8.78
MIL,2,2011,,2.26,2.06,6.00,0.17,0.66,2.18,0.00,0.00,0.05,1.26,1.07,0.00
MIL,2,2012,,1.25,0.89,3.46,1.88,0.03,0.00,0.00,0.02,0.00,0.25,2.08,5.27
MIL,2,2013,,0.74,0.72,0.19,0.46,0.05,0.00,0.03,0.10,0.08,0.25,0.45,0.43
MIL,2,2014,,0.75,2.21,0.75,1.35,0.03,0.00,0.00,0.00,0.14,m,m,m
MIL,2,,
'End of Data
